Fecha;Rank;Artísta;Canción;Género;País;streams;
oct-22;61;Shakira, Rauw Alejandro;Te Felicito;;;593069;
oct-22;62;Feid;Si Te La Encuentras Por Ahí;;;581785;
oct-22;63;Harry Styles;As It Was;;;572959;
oct-22;64;Becky G, KAROL G;MAMIII;;;559902;
oct-22;65;Jairo Vera;Tarima;;;556917;
oct-22;66;Bad Bunny;Un Ratito;;;553368;
oct-22;67;Rauw Alejandro, Baby Rasta;PUNTO 40;;;519565;
oct-22;68;Cris Mj;Paz Mental;;;519075;
oct-22;69;Bad Bunny;Yonaguni;;;500786;
oct-22;70;Gino Mella, King Savagge, Best;TAY PAPO;;;489804;
oct-22;71;Standly;Bailemos Reggaeton;;;486167;
oct-22;72;Coldplay;Yellow;;;474086;
oct-22;73;El Jordan 23, Big Cvyu;Noche Loca;;;469171;
oct-22;74;Ak4:20, King Savagge, KEVVO;NO ERES SANTA;;;468280;
oct-22;75;Anuel AA;Mercedes Tintia;;;458351;
oct-22;76;El Jordan 23, Big Cvyu;Si Sako La 40;;;451658;
oct-22;77;Plan B;Por Que Te Demoras?;;;450672;
oct-22;78;Jairo Vera, Darkiel, Gino Mella, Best, Bayriton;ADICTO (feat. Best, Bayriton);;;445641;
oct-22;79;Bad Bunny;Después de la Playa;;;443904;
oct-22;80;Bad Bunny, Daddy Yankee;La Santa;;;443471;
oct-22;81;Pailita, Nio Garcia;Yo Quiero;;;426813;
oct-22;82;Daddy Yankee;REMIX;;;422189;
oct-22;83;Pailita, El Casti;Par de Veces;;;419860;
oct-22;84;J Balvin, Bad Bunny;LA CANCIÓN;;;419564;
oct-22;85;Plan B;Es un Secreto;;;419421;
oct-22;86;Bad Bunny;Un Coco;;;417146;
oct-22;87;Piso 21, Manuel Turizo;Los Cachos;;;414632;
oct-22;88;Zion & Lennox;Yo Voy (feat. Daddy Yankee);;;412487;
oct-22;89;Feid;Ferxxo 100;;;410857;
oct-22;90;NATTI NATASHA, Daddy Yankee, Wisin & Yandel;Mayor Que Usted;;;404373;
oct-22;91;Tego Calderón;Pa' Que Retozen;;;404337;
oct-22;92;Nickoog Clk;Callate Perro;;;402333;
oct-22;93;Nickoog Clk;En El Jacuzzi;;;398529;
oct-22;94;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;;;396853;
oct-22;95;De La Ghetto, Rauw Alejandro;Loco Por Perrearte - Remix;;;395975;
oct-22;96;BLACKPINK;Shut Down;;;394873;
oct-22;97;Daddy Yankee;Gasolina;;;393583;
oct-22;98;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);;;378664;
oct-22;99;Cris Mj;Locura y Maldad;;;375474;
oct-22;100;Bad Bunny;Dos Mil 16;;;375084;
nov-22;1;Cris Mj, Tiago PZK;Fiera;;;2570669;
nov-22;2;Manuel Turizo;La Bachata;;;2419239;
nov-22;3;Pailita, El Jordan 23, Noriel, Pablo Chill-E;Na Na Na - Remix;;;2354987;
nov-22;4;Stars Music Chile, Cris Mj, Standly;Marisola;;;2230132;
nov-22;5;Bad Bunny, Chencho Corleone;Me Porto Bonito;;;2027052;
nov-22;6;Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C;BABY OTAKU;;;2007205;
nov-22;7;Ozuna, Feid;Hey Mor;;;1946764;
nov-22;8;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;;;1931581;
nov-22;9;Bad Bunny;Efecto;;;1917127;
nov-22;10;Shakira, Ozuna;Monotonía;;;1611932;
nov-22;11;Bad Bunny;Moscow Mule;;;1576329;
nov-22;12;Bad Bunny, Bomba Estéreo;Ojitos Lindos;;;1566634;
nov-22;13;Quevedo;VISTA AL MAR;;;1560399;
nov-22;14;Feid;Feliz Cumpleaños Ferxxo;;;1558545;
nov-22;15;Julianno Sosa, Young Cister;GANAS;;;1477044;
nov-22;16;Bad Bunny;Tití Me Preguntó;;;1420851;
nov-22;17;Rauw Alejandro, Lyanno, Brray;LOKERA;;;1402414;
nov-22;18;Bad Bunny;Neverita;;;1289697;
nov-22;19;ROSALÍA;DESPECHÁ;;;1286170;
nov-22;20;Rauw Alejandro, Baby Rasta;PUNTO 40;;;1265974;
nov-22;21;Young Cister;LA TERAPIA;;;1194593;
nov-22;22;Pailita;Parcera;;;1166118;
nov-22;23;Jairo Vera, Darkiel, Gino Mella, Best, Bayriton;ADICTO (feat. Best, Bayriton);;;1090902;
nov-22;24;Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto;ULTRA SOLO REMIX;;;1062969;
nov-22;25;Bad Bunny, Tony Dize;La Corriente;;;1061621;
nov-22;26;Ak4:20;SE ENDIABLA;;;1034746;
nov-22;27;Wisin & Yandel, ROSALÍA;Besos Moja2;;;1023587;
nov-22;28;JC Reyes, Pablo Chill-E, ECKO;34 Amor y Mafia REMIX;;;1000411;
nov-22;29;Luar La L;Caile;;;964213;
nov-22;30;Nickoog Clk;Salimos Del Tarro;;;952538;
nov-22;31;Bad Bunny, JHAYCO;Tarot;;;938203;
nov-22;32;Julianno Sosa, Endo, El Jordan 23, Noiss;PERREA KTM;;;934117;
nov-22;33;Martinwhite, Erreflexx;V16;;;922476;
nov-22;34;Standly;Panamera;;;915294;
nov-22;35;Mora, Feid;LA INOCENTE;;;913691;
nov-22;36;Bad Bunny, Rauw Alejandro;Party;;;904001;
nov-22;37;KAROL G, Maldy;GATÚBELA;;;899488;
nov-22;38;Pailita, Young Cister;Caminemos de la Mano;;;894240;
nov-22;39;Cris Mj;Una Noche en Medellín;;;881212;
nov-22;40;Feid;Normal;;;865058;
nov-22;41;JHAYCO, Feid, Sech;En La De Ella;;;858092;
nov-22;42;El Jordan 23;Bakanisimo;;;829632;
nov-22;43;KAROL G;PROVENZA;;;826329;
nov-22;44;Ak4:20, Pailita, Cris Mj;Me Arrepentí;;;806617;
nov-22;45;Standly;Pégate;;;781535;
nov-22;46;El Jordan 23, Standly;Bailando;;;754024;
nov-22;47;Standly;Baila para Mi;;;753281;
nov-22;48;El BAI, Cris Mj, SowlBeatz;Pensándote;;;732207;
nov-22;49;Bad Bunny;Yonaguni;;;701619;
nov-22;50;Cris Mj, Fran C;Bellakera;;;694624;
nov-22;51;Shakira, Rauw Alejandro;Te Felicito;;;665731;
nov-22;52;Rauw Alejandro, Chencho Corleone;Desesperados;;;654004;
nov-22;53;Bad Bunny;Un Ratito;;;649878;
nov-22;54;Bad Bunny;Después de la Playa;;;642568;
nov-22;55;Polimá Westcoast, J Balvin;KAWAII;;;641887;
nov-22;56;J Balvin, Bad Bunny;LA CANCIÓN;;;590848;
nov-22;57;Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow;La Llevo Al Cielo (Ft. Ñengo Flow);;;590059;
nov-22;58;Bad Bunny;Un Coco;;;582407;
nov-22;59;King Savagge, Noriel;Tra Tra;;;580332;
nov-22;60;Bayron Fire, Nickoog Clk, Balbi El Chamako, Jairo Vera, Bayriton, Tommy Boysen;Hay Amores Que Matan - Remix;;;555767;
nov-22;61;Polimá Westcoast, Young Cister, Cris Mj;SEXTIME;;;552335;
nov-22;62;Morat, Feid;Salir Con Vida;;;551301;
nov-22;63;Becky G, KAROL G;MAMIII;;;550654;
nov-22;64;Polimá Westcoast, Pailita;ULTRA SOLO;;;549941;
nov-22;65;Feid;Prohibidox;;;549532;
nov-22;66;Harry Styles;As It Was;;;543251;
nov-22;67;Bad Bunny, Daddy Yankee;La Santa;;;525372;
nov-22;68;Julianno Sosa, King Savagge;Cochinae;;;522105;
nov-22;69;Standly, Yilberking;Tequila y Limón;;;519714;
nov-22;70;Sayian Jimmy, Standly, Yishark, Nysix Music, Tobal Mj, Benji La Maldita Escritura De Oro;Flotao;;;509717;
nov-22;71;Cris Mj;Paz Mental;;;501167;
nov-22;72;Bad Bunny, JHAYCO;DÁKITI;;;499834;
nov-22;73;Nickoog Clk, Standly;Que Se Hace;;;499011;
nov-22;74;Pailita, Cris Mj, Big Cvyu;Dime Tú;;;495306;
nov-22;75;Cris Mj, Jory Boy;Suburban;;;491749;
nov-22;76;Sam Smith, Kim Petras;Unholy (feat. Kim Petras);;;491388;
nov-22;77;Brytiago, Polimá Westcoast;S.O.S.;;;485194;
nov-22;78;Daddy Yankee, Bad Bunny;X ÚLTIMA VEZ;;;463760;
nov-22;79;Taylor Swift;Anti-Hero;;;456067;
nov-22;80;Plan B;Por Que Te Demoras?;;;453298;
nov-22;81;Bad Bunny;A Tu Merced;;;449832;
nov-22;82;Rels B;cómo dormiste?;;;446193;
nov-22;83;Plan B;Es un Secreto;;;445145;
nov-22;84;Ak4:20;RELAX CON MAX - Spotify Singles;;;443101;
nov-22;85;El Jordan 23;Pato Feo Soy Yo;;;442133;
nov-22;86;Jairo Vera;Tarima;;;441964;
nov-22;87;Gino Mella, King Savagge, Best;TAY PAPO;;;441363;
nov-22;88;Bad Bunny;Dos Mil 16;;;439856;
nov-22;89;Bad Bunny;Un Verano Sin Ti;;;433705;
nov-22;90;Piso 21, Manuel Turizo;Los Cachos;;;426881;
nov-22;91;Bad Bunny, Tainy;Callaita;;;421862;
nov-22;92;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);;;420350;
nov-22;93;Morat;No Se Va;;;419159;
nov-22;94;Feid;Ferxxo 100;;;418275;
nov-22;95;Standly;Bailemos Reggaeton;;;408778;
nov-22;96;Tego Calderón;Pa' Que Retozen;;;408125;
nov-22;97;Pailita, Big Cvyu;Na Na Na;;;403163;
nov-22;98;Bad Bunny;Yo No Soy Celoso;;;402897;
nov-22;99;Zion & Lennox;Yo Voy (feat. Daddy Yankee);;;397269;
nov-22;100;Bad Bunny;Enséñame a Bailar;;;389293;
dic-22;1;Ozuna, Feid;Hey Mor;;;2604826;
dic-22;2;Manuel Turizo;La Bachata;;;2250665;
dic-22;3;Cris Mj, Pablo Chill-E;Como Tu Ninguna - Remix;;;1839842;
dic-22;4;Pailita, El Jordan 23, Noriel, Pablo Chill-E;Na Na Na - Remix;;;1748257;
dic-22;5;ITHAN NY, Tunechikidd, Nickoog Clk;TU DIABLO;;;1740750;
dic-22;6;Bizarrap, Quevedo;Quevedo: Bzrp Music Sessions, Vol. 52;;;1738597;
dic-22;7;Stars Music Chile, Cris Mj, Standly;Marisola;;;1694470;
dic-22;8;Feid;Feliz Cumpleaños Ferxxo;;;1601271;
dic-22;9;Bad Bunny, Chencho Corleone;Me Porto Bonito;;;1565184;
dic-22;10;Bad Bunny;Efecto;;;1518164;
dic-22;11;Quevedo;VISTA AL MAR;;;1508840;
dic-22;12;Cris Mj, Tiago PZK;Fiera;;;1494229;
dic-22;13;Polimá Westcoast, Quevedo, Mora;LACONE;;;1474892;
dic-22;14;Rauw Alejandro, Lyanno, Brray;LOKERA;;;1407133;
dic-22;15;Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C;BABY OTAKU;;;1342624;
dic-22;16;Wisin & Yandel, ROSALÍA;Besos Moja2;;;1279507;
dic-22;17;El Punto40, Marcianeke;Mini Mini;;;1262294;
dic-22;18;Pailita;Parcera;;;1259423;
dic-22;19;Bad Bunny, Bomba Estéreo;Ojitos Lindos;;;1238737;
dic-22;20;Rauw Alejandro, Baby Rasta;PUNTO 40;;;1201544;
dic-22;21;Julianno Sosa, Young Cister;GANAS;;;1189218;
dic-22;22;KAROL G, Ovy On The Drums;CAIRO;;;1125927;
dic-22;23;Bad Bunny;Moscow Mule;;;1118063;
dic-22;24;Bad Bunny;Tití Me Preguntó;;;1106348;
dic-22;25;ROSALÍA;DESPECHÁ;;;1059503;
dic-22;26;Shakira, Ozuna;Monotonía;;;1048008;
dic-22;27;Jairo Vera, Darkiel, Gino Mella, Best, Bayriton;ADICTO (feat. Best, Bayriton);;;1031250;
dic-22;28;Bad Bunny;Neverita;;;1030768;
dic-22;29;Cris Mj, Ak4:20;Sin Seguro;;;1014051;
dic-22;30;Feid, Ak4:20, Taiko;Malibu;;;973764;
dic-22;31;Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto;ULTRA SOLO REMIX;;;939260;
dic-22;32;Quevedo;PUNTO G;;;884585;
dic-22;33;Cris Mj, Fran C;Bellakera;;;871599;
dic-22;34;Mora, Feid;LA INOCENTE;;;868682;
dic-22;35;Cris Mj;Solita;;;861498;
dic-22;36;Bizarrap, Duki;Duki: Bzrp Music Sessions, Vol. 50;;;852769;
dic-22;37;Feid;Normal;;;848495;
dic-22;38;Cris Mj;Una Noche en Medellín;;;804352;
dic-22;39;Cris Mj, Blessd;Gucci en Paris;;;790887;
dic-22;40;Luar La L;Caile;;;781551;
dic-22;41;Bad Bunny, Tony Dize;La Corriente;;;781040;
dic-22;42;Young Cister;LA TERAPIA;;;775553;
dic-22;43;KAROL G, Maldy;GATÚBELA;;;766098;
dic-22;44;JHAYCO, Feid, Sech;En La De Ella;;;751582;
dic-22;45;Standly;Panamera;;;742351;
dic-22;46;KAROL G;PROVENZA;;;738705;
dic-22;47;Young Cister, Nicki Nicole, Alvaro Diaz;LA TERAPIA REMIX;;;737034;
dic-22;48;Ak4:20;SE ENDIABLA;;;734150;
dic-22;49;Ak4:20, Pailita, Cris Mj;Me Arrepentí;;;726751;
dic-22;50;Martinwhite, Erreflexx;V16;;;693164;
dic-22;51;Pailita, Young Cister;Caminemos de la Mano;;;660300;
dic-22;52;Cris Mj;Toma Toma;;;643711;
dic-22;53;Bad Bunny, JHAYCO;Tarot;;;642928;
dic-22;54;Nickoog Clk;Salimos Del Tarro;;;642840;
dic-22;55;Julianno Sosa, Endo, El Jordan 23, Noiss;PERREA KTM;;;641909;
dic-22;56;Harry Styles;As It Was;;;635062;
dic-22;57;JC Reyes, Pablo Chill-E, ECKO;34 Amor y Mafia REMIX;;;633037;
dic-22;58;Rauw Alejandro, Chencho Corleone;Desesperados;;;621613;
dic-22;59;El Jordan 23, Standly;Bailando;;;610847;
dic-22;60;Shakira, Rauw Alejandro;Te Felicito;;;582668;
dic-22;61;El Jordan 23;Bakanisimo;;;581040;
dic-22;62;Bad Bunny, Rauw Alejandro;Party;;;576436;
dic-22;63;El BAI, Cris Mj, SowlBeatz;Pensándote;;;575503;
dic-22;64;Bad Bunny;Yonaguni;;;563656;
dic-22;65;Cris Mj, Magicenelbeat;Perreo;;;563433;
dic-22;66;Standly;Pégate;;;545855;
dic-22;67;Standly;Baila para Mi;;;545608;
dic-22;68;Cris Mj, Magicenelbeat;Famoso;;;540150;
dic-22;69;Cris Mj, Jory Boy;Suburban;;;538774;
dic-22;70;Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow;La Llevo Al Cielo (Ft. Ñengo Flow);;;536897;
dic-22;71;Polimá Westcoast, Pailita;ULTRA SOLO;;;509812;
dic-22;72;Cris Mj;Paz Mental;;;507216;
dic-22;73;Paulo Londra, Feid;A Veces (feat. Feid);;;505816;
dic-22;74;Cris Mj;Las Jordan;;;495797;
dic-22;75;Piso 21, Manuel Turizo;Los Cachos;;;491126;
dic-22;76;Pailita, Magicenelbeat;Vuelve;;;489076;
dic-22;77;Feid;Prohibidox;;;483752;
dic-22;78;Becky G, KAROL G;MAMIII;;;482330;
dic-22;79;Pailita, Cris Mj, Big Cvyu;Dime Tú;;;466190;
dic-22;80;Bad Bunny;Un Ratito;;;464300;
dic-22;81;J Balvin, Bad Bunny;LA CANCIÓN;;;453082;
dic-22;82;Rels B;cómo dormiste?;;;444787;
dic-22;83;Cris Mj;Envuelto;;;430510;
dic-22;84;Bad Bunny;Un Coco;;;429177;
dic-22;85;Standly;Reggaetón;;;419253;
dic-22;86;Arcángel;JS4E;;;412581;
dic-22;87;Cris Mj;Matemos las Ganas;;;412528;
dic-22;88;Standly, Yilberking;Tequila y Limón;;;409416;
dic-22;89;Plan B;Es un Secreto;;;407755;
dic-22;90;Morat;No Se Va;;;406789;
dic-22;91;El Jordan 23;Prendiendo Blones;;;405166;
dic-22;92;Sam Smith, Kim Petras;Unholy (feat. Kim Petras);;;403110;
dic-22;93;Lucky Brown, King Savagge, ITHAN NY, Balbi El Chamako, Giuliano Yankees;Bambini;;;401830;
dic-22;94;Bayron Fire, Nickoog Clk, Balbi El Chamako, Jairo Vera, Bayriton, Tommy Boysen;Hay Amores Que Matan - Remix;;;401000;
dic-22;95;King Savagge, Noriel;Tra Tra;;;399812;
dic-22;96;Feid;Ferxxo 100;;;399636;
dic-22;97;Bad Bunny;Después de la Playa;;;391796;
dic-22;98;Bad Bunny, Daddy Yankee;La Santa;;;389801;
dic-22;99;Jairo Vera;Tarima;;;387068;
dic-22;100;Sayian Jimmy, Standly, Yishark, Nysix Music, Tobal Mj, Benji La Maldita Escritura De Oro;Flotao;;;386218;
