Fecha;Año;Medio;Posición;Artista;Canción;Nacionalidad;Género
ene-21;2021;Spotify;62;Brytiago, Jay Wheeler;Desnudarte;PR, PR;Urbano
ene-21;2021;Spotify;63;Bad Bunny, Daddy Yankee;La Santa;PR, PR;Urbano
ene-21;2021;Spotify;64;Anuel AA, Ozuna;Nunca;PR, PR;Urbano
ene-21;2021;Spotify;65;Anuel AA, Ozuna;RD;PR, PR;Urbano
ene-21;2021;Spotify;66;Arcángel, Justin Quiles, Eladio Carrion, De La Ghetto;Tussi;PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;67;Ozuna, KAROL G, Myke Towers;Caramelo - Remix;PR, CO, PR;Urbano
ene-21;2021;Spotify;68;Anuel AA, Ozuna;Dime Tú;PR, PR;Urbano
ene-21;2021;Spotify;69;Harry Nach;Tak Tiki Tak;CL;Urbano
ene-21;2021;Spotify;70;Piso 21, Maluma;Más De La Una;CO, CO;Urbano
ene-21;2021;Spotify;71;Bad Bunny, Jowell & Randy, Ñengo Flow;Safaera;PR, PR, PR;Urbano
ene-21;2021;Spotify;72;Camilo;Favorito;ES;Latino/Tropical
ene-21;2021;Spotify;73;Bad Bunny;A Tu Merced;PR;Urbano
ene-21;2021;Spotify;74;Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow;Hola - Remix;PR, PR, PR, PR, PA;Urbano
ene-21;2021;Spotify;75;Black Eyed Peas, Shakira;GIRL LIKE ME;US, CO;Pop
ene-21;2021;Spotify;76;Bad Bunny;La Difícil;PR;Urbano
ene-21;2021;Spotify;77;Tainy, J Balvin;Agua (with J Balvin);PR, CO;Urbano
ene-21;2021;Spotify;78;Super Yei, Sammy Baby, Jone Quest, Myke Towers, Lenny Tavárez, Rafa Pabön;La Forma en Que Me Miras;PR, PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;79;Harry Styles;Watermelon Sugar;GB;Pop
ene-21;2021;Spotify;80;Bad Bunny, Sech;Ignorantes;PR, PA;Urbano
ene-21;2021;Spotify;81;Rauw Alejandro;Enchule;PR;Urbano
ene-21;2021;Spotify;82;JHAYCO, J Balvin, Bad Bunny;No Me Conoce - Remix;PR, CO, PR;Urbano
ene-21;2021;Spotify;83;Anuel AA, Ozuna;Perreo;PR, PR;Urbano
ene-21;2021;Spotify;84;Dua Lipa;Don't Start Now;GB;Pop
ene-21;2021;Spotify;85;Lyanno, Rauw Alejandro, Lenny Tavárez, Maria Becerra;En Tu Cuerpo - Remix;PR, PR, PR, AR;Urbano
ene-21;2021;Spotify;86;Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow;Elegí (feat. Dímelo Flow);PR, PR, PR, PA;Urbano
ene-21;2021;Spotify;87;Bad Bunny;Vete;PR;Urbano
ene-21;2021;Spotify;88;Bad Bunny;Si Veo a Tu Mamá;PR;Urbano
ene-21;2021;Spotify;89;Bad Bunny, Mora;Una Vez;PR, SE;Urbano
ene-21;2021;Spotify;90;Anuel AA;Reggaetonera;PR;Urbano
ene-21;2021;Spotify;91;Bad Bunny;Yo Perreo Sola;PR;Urbano
ene-21;2021;Spotify;92;Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex;El Efecto - Remix;PR, PR, PR, PR, PR, PR;Urbano
ene-21;2021;Spotify;93;Camilo, Pablo Alborán;El Mismo Aire - con Pablo Alborán;ES, ES;Latino/Tropical
ene-21;2021;Spotify;94;Rauw Alejandro;Dile a El;PR;Urbano
ene-21;2021;Spotify;95;Billie Eilish, ROSALÍA;Lo Vas A Olvidar (with ROSALÍA);US, ES;Pop
ene-21;2021;Spotify;96;Manuel Turizo;Quiéreme Mientras Se Pueda;CO;Urbano
