"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-22","Spotify","1","Standly","Pégate","CL","Urbano"
"ene-22","Spotify","2","Rauw Alejandro, Chencho Corleone","Desesperados","PR, PR","Urbano"
"ene-22","Spotify","3","Standly, El Barto","Mi Gata","CL, CL","Urbano"
"ene-22","Spotify","4","Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile","Los Malvekes","CL, CL","Urbano"
"ene-22","Spotify","5","Tainy, Bad Bunny, Julieta Venegas","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","PR, PR, MX","Urbano"
"ene-22","Spotify","6","Bad Bunny","Yonaguni","PR","Urbano"
"ene-22","Spotify","7","Blessd, Justin Quiles, Lenny Tavárez","Medallo","CO, PR, PR","Urbano"
"ene-22","Spotify","8","Boza, Lunay, Lenny Tavárez, Juhn, Beéle","Ella - Remix","PA, PR, PR, PR, CO","Urbano"
"ene-22","Spotify","9","JOSEPE EL DEMENTE, Sayian Jimmy","Morena Cachetona","CL, CL","Urbano"
"ene-22","Spotify","10","Marcianeke","Qué Pasa?","CL","Urbano"
"ene-22","Spotify","11","Cris Mj","Una Noche en Medellín","CL","Urbano"
"ene-22","Spotify","12","Aventura, Bad Bunny","Volví","US, PR","Tropical/Latino"
"ene-22","Spotify","13","Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY","MONEYMAN (feat. Galee Galee & ITHAN NY)","CL, CL, CL, CL","Urbano"
"ene-22","Spotify","14","Anuel AA, Myke Towers, JHAYCO","Súbelo","PR, PR, PR","Urbano"
"ene-22","Spotify","15","Young Cister","Casi Amor De Verano","CL","Urbano"
"ene-22","Spotify","16","JHAYCO, Anuel AA","Ley Seca","PR, PR","Urbano"
"ene-22","Spotify","17","Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole","Entre Nosotros (Remix) [con Nicki Nicole]","AR, AR, AR","Urbano"
"ene-22","Spotify","18","Pailita, Marcianeke","Dimelo Ma","CL","Urbano"
"ene-22","Spotify","19","Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48","AR, AR","Urbano"
"ene-22","Spotify","20","Rvssian, Rauw Alejandro, Chris Brown","Nostálgico","JM, PR, US","Urbano"
"ene-22","Spotify","21","Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix","GB, GB, AU","Pop"
"ene-22","Spotify","22","zzoilo, Aitana","Mon Amour - Remix","ES, ES","Pop"
"ene-22","Spotify","23","Alvaro Diaz, Rauw Alejandro","Problemón","PR, PR","Urbano"
"ene-22","Spotify","24","Nickoog Clk, Izahn, Standly","Mi Waxita","CL, CL","Urbano"
"ene-22","Spotify","25","ITHAN NY, Marcianeke","Las Naik","CL, CL","Urbano"
"ene-22","Spotify","26","Mora, Bad Bunny, Sech","Volando - Remix","SE, PR, PA","Urbano"
