"Fecha","Medio","Posición","Artista","Canción","Nacionalidad","Genero"
"ene-24","Spotify","1","Jere Klein, Nickoog Clk, Lucky Brown, El BAI","PRINCESITA DE ...","CL, CL","Urbano"
"ene-24","Spotify","2","Cris Mj","Daytona","CL","Urbano"
"ene-24","Spotify","3","Feid, ATL Jacob","LUNA","CO","Urbano"
"ene-24","Spotify","4","Jere Klein, Gittobeatz","ANDO","CL","Urbano"
"ene-24","Spotify","5","Kidd Voodoo, Daiko 02","Minnie <3","CL","Urbano"
"ene-24","Spotify","6","Jere Klein, Cris Mj","LOCA FARANDULERA","CL, CL","Urbano"
"ene-24","Spotify","7","Jere Klein, Nicki Nicole","X ESO BB","CL, AR","Urbano"
"ene-24","Spotify","8","Lucky Brown, Nickoog Clk, Mateo on the Beatz","Ay Parcera","CL","Urbano"
"ene-24","Spotify","9","Lucky Brown, Jere Klein, Mateo on the Beatz","¿Cuál Es Su Nombre?","CL","Urbano"
"ene-24","Spotify","10","Kidd Voodoo, Pablo Chill-E, Swift 047","Ese Guille","CL","Urbano"
"ene-24","Spotify","11","Katteyes, Kidd Voodoo","Tas Texteandome","CL","Urbano"
"ene-24","Spotify","12","Bizarrap, Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58","AR, PR","Urbano"
"ene-24","Spotify","13","KAROL G, Peso Pluma","QLONA","CO, MX","Urbano"
"ene-24","Spotify","14","Myke Towers","LA FALDA","PR","Urbano"
"ene-24","Spotify","15","Bad Bunny, Feid","PERRO NEGRO","PR, CO","Urbano"
"ene-24","Spotify","16","Jere Klein, Mateo on the Beatz, EL MURCIELAGO","KE MAL","CL","Urbano"
"ene-24","Spotify","17","Xavi","La Diabla","MX","Tropical/Latino"
"ene-24","Spotify","18","YSY A, Jere Klein, ONIRIA","24/7 6.5","AR, CL, ES","Urbano"
"ene-24","Spotify","19","Cris Mj","No Ando Weando","CL","Urbano"
"ene-24","Spotify","20","Gaby Music, Lunay, Luar La L","No Te Quieren Conmigo","PR, PR","Urbano"
"ene-24","Spotify","21","Mesita, Nicki Nicole, Tiago PZK, Emilia","Una Foto Remix (feat. Emilia)","US, AR, AR, SE","Urbano"
"ene-24","Spotify","22","Peso Pluma, Anitta","BELLAKEO","MX, BR","Tropical/Latino"
"ene-24","Spotify","23","Sayian Jimmy, Nysix Music, CamiMusic","Bad Boy","CL","Urbano"
"ene-24","Spotify","24","Cris Mj","La Noche Está","CL","Urbano"
"ene-24","Spotify","25","Cris Mj","Partyson","CL","Urbano"
"ene-24","Spotify","26","Big One, FMK, Ke Personajes","Un Finde | CROSSOVER #2","AR, AR, AR","Urbano"
"ene-24","Spotify","27","Quevedo","Columbia","ES","Urbano"
"ene-24","Spotify","28","Gino Mella, Jairo Vera, Best","EL AMOR DE TU VIDA","CL","Urbano"
"ene-24","Spotify","29","Rauw Alejandro","DILUVIO","PR","Urbano"
"ene-24","Spotify","30","Myke Towers","LALA","PR","Urbano"
"ene-24","Spotify","31","Nickoog Clk, Jere Klein","XQ TAN SOLA?","CL","Urbano"
"ene-24","Spotify","32","Maluma, Carin Leon","Según Quién","CO, MX","Urbano"
"ene-24","Spotify","33","Lucky Brown, Adan La Amenaza","Privado","CL","Urbano"
"ene-24","Spotify","34","Jere Klein, Taiko, EL MURCIELAGO","NO SÉ AMAR","CL","Urbano"
"ene-24","Spotify","35","Darell","Lollipop","PR","Urbano"
"ene-24","Spotify","36","El Jordan 23, los patos feos inc, Nes","Cabaña","CL","Urbano"
"ene-24","Spotify","37","Cris Mj, Yan Block","333","CL","Urbano"
"ene-24","Spotify","38","KAROL G","AMARGURA","CO","Urbano"
