rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",1,1,7,"2830646"
2,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,2,22,"2361722"
3,"spotify:track:7BFa8ACKFI2vvbn6Su16JY","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","2022 Rimas Entertainment México S.A. de C.V",1,3,6,"1931683"
4,"spotify:track:3cubuvfYq2yHijwV7eCHwL","ITHAN NY, Tunechikidd, Nickoog Clk","TU DIABLO","ITHAN NY",4,6,3,"1878618"
5,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,5,21,"1827619"
6,"spotify:track:2pR6bipXfJySBhje19SW02","Stars Music Chile, Cris Mj, Standly","Marisola","Virgin Music Chile",1,4,18,"1733536"
7,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",7,9,14,"1700627"
8,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,8,29,"1656447"
9,"spotify:track:7iwJOi3hlMqZt6pj1sQOBj","Quevedo","VISTA AL MAR","Quevedo",6,12,11,"1621704"
10,"spotify:track:4tWO6MRXQwmh8nKlWHgBYz","Cris Mj, Tiago PZK","Fiera","Sonar LLC.",1,7,4,"1602086"
11,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,10,29,"1595759"
12,"spotify:track:7MkylDYvKTSuWgrsBhHlsG","Bizarrap, Duki","Duki: Bzrp Music Sessions, Vol. 50","DALE PLAY Records",12,66,2,"1594231"
13,"spotify:track:0kTMK4gNFfLXaTb62w1UaJ","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","Pablito Pesadilla",1,11,14,"1503557"
14,"spotify:track:33cF8aTmGJ6TsEf23uqGIN","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",11,17,17,"1471216"
15,"spotify:track:2RQsLucjZb02cKkz3s8NZ5","Julianno Sosa, Young Cister","GANAS","Sosa Mafia Records",6,13,14,"1348418"
16,"spotify:track:6TsVhM8qIkWN5cJVDIVbbz","Wisin & Yandel, ROSALÍA","Besos Moja2","Sony Music Latin",15,15,8,"1340029"
17,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,14,29,"1280444"
18,"spotify:track:58cEG7FsVoipRiRKUMgOjo","Rauw Alejandro, Baby Rasta","PUNTO 40","Sony Music Latin/Duars Entertainment",15,18,9,"1270512"
19,"spotify:track:4gWqIR7bGRk9oLoYRgSUKN","Pailita","Parcera","2022 Rimas Entertainment México S.A. de C.V",14,20,8,"1243523"
20,"spotify:track:3KI4rfS7kRC58Dd4ToY7P3","El Punto40, Marcianeke","Mini Mini","Duetti",20,30,4,"1242842"
21,"spotify:track:4TRlBMj8wXsIfEDgWOPyE2","Feid, Ak4:20, Taiko","Malibu","UMLE - Latino",21,22,2,"1193300"
22,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,16,29,"1187486"
23,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",6,21,29,"1164082"
24,"spotify:track:0pVFw0LHdpjAWI2xwoUXQZ","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","WM Chile",22,24,8,"1160011"
25,"spotify:track:6G12ZafqofSq7YtrMqUm76","Shakira, Ozuna","Monotonía","Sony Music Latin",9,19,6,"1119569"
26,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",7,26,17,"1118335"
27,"spotify:track:6WbAhuwE6fCOriBu5786X1","KAROL G, Ovy On The Drums","CAIRO","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",27,61,2,"1095216"
28,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",18,25,29,"1079479"
