Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-22;Spotify;#¿NOMBRE?;Standly;Pégate;;
ene-22;Spotify;#¿NOMBRE?;Rauw Alejandro, Chencho Corleone;Desesperados;;
ene-22;Spotify;#¿NOMBRE?;Standly, El Barto;Mi Gata;;
ene-22;Spotify;#¿NOMBRE?;Cris Mj, Marcianeke, Simon la Letra, Stars Music Chile;Los Malvekes;;
ene-22;Spotify;#¿NOMBRE?;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/ (with Bad Bunny & Julieta Venegas);;
ene-22;Spotify;#¿NOMBRE?;Bad Bunny;Yonaguni;;
ene-22;Spotify;#¿NOMBRE?;Blessd, Justin Quiles, Lenny Tavárez;Medallo;;
ene-22;Spotify;#¿NOMBRE?;Boza, Lunay, Lenny Tavárez, Juhn, Beéle;Ella - Remix;;
ene-22;Spotify;#¿NOMBRE?;JOSEPE EL DEMENTE, Sayian Jimmy;Morena Cachetona;;
ene-22;Spotify;#¿NOMBRE?;Marcianeke;Qué Pasa?;;
ene-22;Spotify;#¿NOMBRE?;Cris Mj;Una Noche en Medellín;;
ene-22;Spotify;#¿NOMBRE?;Aventura, Bad Bunny;Volví;;
ene-22;Spotify;#¿NOMBRE?;Polimá Westcoast, Pablo Chill-E, Harry Nach, Galee Galee, ITHAN NY;MONEYMAN (feat. Galee Galee & ITHAN NY);;
ene-22;Spotify;#¿NOMBRE?;Anuel AA, Myke Towers, JHAYCO;Súbelo;;
ene-22;Spotify;#¿NOMBRE?;Young Cister;Casi Amor De Verano;;
ene-22;Spotify;#¿NOMBRE?;JHAYCO, Anuel AA;Ley Seca;;
ene-22;Spotify;#¿NOMBRE?;Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole;Entre Nosotros (Remix) [con Nicki Nicole];;
ene-22;Spotify;#¿NOMBRE?;Pailita, Marcianeke;Dimelo Ma;;
ene-22;Spotify;#¿NOMBRE?;Bizarrap, Tiago PZK;Tiago PZK: Bzrp Music Sessions, Vol. 48;;
ene-22;Spotify;#¿NOMBRE?;Rvssian, Rauw Alejandro, Chris Brown;Nostálgico;;
ene-22;Spotify;#¿NOMBRE?;Elton John, Dua Lipa, PNAU;Cold Heart - PNAU Remix;;
ene-22;Spotify;#¿NOMBRE?;zzoilo, Aitana;Mon Amour - Remix;;
ene-22;Spotify;#¿NOMBRE?;Alvaro Diaz, Rauw Alejandro;Problemón;;
ene-22;Spotify;#¿NOMBRE?;Nickoog Clk, Izahn, Standly;Mi Waxita;;
ene-22;Spotify;#¿NOMBRE?;ITHAN NY, Marcianeke;Las Naik;;
ene-22;Spotify;#¿NOMBRE?;Mora, Bad Bunny, Sech;Volando - Remix;;
ene-22;Spotify;#¿NOMBRE?;Cris Mj;Locura y Maldad;;
ene-22;Spotify;#¿NOMBRE?;Bad Bunny, JHAYCO;DÁKITI;;
ene-22;Spotify;#¿NOMBRE?;El Barto, El Jordan 23, Standly, Drakomafia, Yong Bryel;Flaytiando;;
ene-22;Spotify;#¿NOMBRE?;Tiago PZK, Trueno;Salimo de Noche;;
