Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-21;Radio;#¿NOMBRE?;Sebastián Yatra ;Chica Ideal  ;Colombia;Pop Latino
ene-21;Radio;#¿NOMBRE?;Camilo  ;Vida De Rico  ;Colombia;Pop Latino
ene-21;Radio;#¿NOMBRE?;Maluma  ;Hawai  ;Colombia;Reguetón
ene-21;Radio;#¿NOMBRE?;Harry Styles  ;Watermelon Sugar  ;Reino Unido;Pop
ene-21;Radio;#¿NOMBRE?;Donald  ;Verano Naranja  ;Chile;Pop
ene-21;Radio;#¿NOMBRE?;Rauw Alejandro & Camilo  ;TATTOO (REMIX)  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;The Weeknd  ;Blinding Lights  ;Canadá;Pop/R&B
ene-21;Radio;#¿NOMBRE?;Camilo, El Alfa  ;Bebe  ;Colombia;Pop
ene-21;Radio;#¿NOMBRE?;Karol G  ;Ay, DiOs Mío!  ;Colombia;Reguetón
ene-21;Radio;#¿NOMBRE?;Tainy & J Balvin  ;Agua (Music From)  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Harry Styles  ;Golden  ;;
ene-21;Radio;#¿NOMBRE?;Tones And I  ;Dance Monkey  ;Australia;Pop
ene-21;Radio;#¿NOMBRE?;Karol G  ;BICHOTA  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Black Eyed Peas X Shakira  ;Girl Like Me  ;EEUU/Argentina;Pop Latino
ene-21;Radio;#¿NOMBRE?;Lele Pons, Guaynaa  ;Se Te Nota (With Guaynaa)  ;Argentina;Trap
ene-21;Radio;#¿NOMBRE?;Seven Kayne, Polimá Westcoast, Young Cister  ;Eyes On My Ice  ;;
ene-21;Radio;#¿NOMBRE?;Ed Sheeran  ;Afterglow  ;Reino Unido;Pop
ene-21;Radio;#¿NOMBRE?;J. Balvin, Dua Lipa, Bad Bunny  ;UN DIA (ONE DAY) (Feat. Tainy)  ;Colombia;Reguetón
ene-21;Radio;#¿NOMBRE?;Bad Bunny Feat. Jhay Cortez  ;Dakiti  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Sech, Daddy Yankee ;Relación Feat. Rosalía, Farruko (Remix)  ;Panamá;Reguetón
ene-21;Radio;#¿NOMBRE?;Dua Lipa  ;Don't Start Now  ;Reino Unido;Pop
ene-21;Radio;#¿NOMBRE?;Cnco  ;Tan Enamorados  ;Regional;Pop Latino
ene-21;Radio;#¿NOMBRE?;Los Legendarios, Wisin, Myke Towers  ;Mi Niña  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Farruko  ;La Tóxica  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Lola Indigo, Danna Paola, Denise Rosenthal  ;Santeria  ;España;Pop
ene-21;Radio;#¿NOMBRE?;Boza  ;Hecha Pa' Mí  ;Panamá;Reguetón
ene-21;Radio;#¿NOMBRE?;Bts  ;Dynamite  ;Corea del Sur;K-Pop
ene-21;Radio;#¿NOMBRE?;Nio Garcia & Casper Magico  ;Travesuras  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Pablo Alborán  ;Si Hubieras Querido  ;España;Pop
ene-21;Radio;#¿NOMBRE?;Cami  ;BIG BANG  ;Chile;Pop
ene-21;Radio;#¿NOMBRE?;Luis Fonsi, Farruko  ;Perfecta  ;Puerto Rico;Pop Latino
ene-21;Radio;#¿NOMBRE?;Mon Laferte  ;Tu Falta De Querer  ;Chile;Pop/Rock
ene-21;Radio;#¿NOMBRE?;Jay Wheeler & Dj Nelson (Feat. Myke Towers)  ;La Curiosidad  ;Puerto Rico;Reguetón
ene-21;Radio;#¿NOMBRE?;Justin Timberlake;CAN'T STOP THE FEELING! (Original Song From Dream)  ;EEUU;Pop
ene-21;Radio;#¿NOMBRE?;Karol G & Nicki Minaj;TUSA  ;Puerto Rico;Hip-Hop
