Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-22;Radio;#¿NOMBRE?;Elton John, Dua Lipa;Cold Heart (PNAU Remix);;
ene-22;Radio;#¿NOMBRE?;Farruko;Pepas;;
ene-22;Radio;#¿NOMBRE?;Sebastián Yatra;Tacones Rojos;;
ene-22;Radio;#¿NOMBRE?;Rauw Alejandro;Todo De Ti;;
ene-22;Radio;#¿NOMBRE?;Adele;Easy On Me;;
ene-22;Radio;#¿NOMBRE?;Maluma;Sobrio;;
ene-22;Radio;#¿NOMBRE?;Camilo, Evaluna Montaner;Indigo;;
ene-22;Radio;#¿NOMBRE?;Zzoilo, Aitana;Mon Amour (Remix);;
ene-22;Radio;#¿NOMBRE?;Donald;Verano Naranja;;
ene-22;Radio;#¿NOMBRE?;Coldplay, Bts;My Universe;;
ene-22;Radio;#¿NOMBRE?;Bruno Mars, Anderson .P;Smokin Out The Window;;
ene-22;Radio;#¿NOMBRE?;Harry Styles;Watermelon Sugar;;
ene-22;Radio;#¿NOMBRE?;Paloma Mami;Cosas De La Vida;;
ene-22;Radio;#¿NOMBRE?;Dua Lipa;Don't Start Now;;
ene-22;Radio;#¿NOMBRE?;Marc Anthony;Mala;;
ene-22;Radio;#¿NOMBRE?;Ed Sheeran;Shivers;;
ene-22;Radio;#¿NOMBRE?;Ed Sheeran;Bad Habits;;
ene-22;Radio;#¿NOMBRE?;Sophie Ellis-Bextor;Murder On The Dancefloor;;
ene-22;Radio;#¿NOMBRE?;Marcianeke, Pailita;Dimelo Ma;;
ene-22;Radio;#¿NOMBRE?;Tini, Maria Becerra;Mienteme;;
ene-22;Radio;#¿NOMBRE?;José Luis Perales;Un Velero Llamado Libertad;;
ene-22;Radio;#¿NOMBRE?;Aventura, Bad Bunny;Volvi;;
ene-22;Radio;#¿NOMBRE?;José Luis Perales;Y ¿Cómo Es Él?;;
ene-22;Radio;#¿NOMBRE?;Bad Bunny;Yonaguni;;
ene-22;Radio;#¿NOMBRE?;Charles & Eddie;Would I Lie To You?;;
ene-22;Radio;#¿NOMBRE?;The Weeknd;Blinding Lights;;
ene-22;Radio;#¿NOMBRE?;Ricky Martin, Paloma Mami;Que Rico Fuera;;
ene-22;Radio;#¿NOMBRE?;Jhay Cortez, Anuel Aa;Ley Seca;;
ene-22;Radio;#¿NOMBRE?;Arte Elegante;En Las Malas Y Buenas;;
ene-22;Radio;#¿NOMBRE?;Mon Laferte;Algo Es Mejor;;
ene-22;Radio;#¿NOMBRE?;Myke Towers;Almas Gemelas;;
ene-22;Radio;#¿NOMBRE?;Eix, Kiko El Crazy, Chimbala;Desacatao;;
ene-22;Radio;#¿NOMBRE?;Tiësto, Karol G;Don't Be Shy;;
ene-22;Radio;#¿NOMBRE?;Bruno Mars, Anderson .Paak;Leave The Door Open;;
ene-22;Radio;#¿NOMBRE?;Justin Bieber, Daniel Caesar, Giveon;Peaches Feat. Daniel Caesar, Giveon;;
ene-22;Radio;#¿NOMBRE?;Santaferia;Vamos A La Boti;;
ene-22;Radio;#¿NOMBRE?;Randy, Ape Drums;23;;
ene-22;Radio;#¿NOMBRE?;Sebastián Yatra, Myke Towers;Pareja Del Año;;
ene-22;Radio;#¿NOMBRE?;Mon Laferte;Tu Falta De Querer;;
ene-22;Radio;#¿NOMBRE?;Carlos Vives, Ricky Martin;Cancion Bonita;;
ene-22;Radio;#¿NOMBRE?;J Balvin, Skrillex;In Da Getto;;
