Fecha;Medio;Posición;Artista + Canción;Género;Nacionalidad
ene-24;Radio;#¿NOMBRE?;Lala por Myke Towers;;
ene-24;Radio;#¿NOMBRE?;Houdini por Dua Lipa;;
ene-24;Radio;#¿NOMBRE?;Sippin' Sazerac por Tree Adams;;
ene-24;Radio;#¿NOMBRE?;La_Original.Mp3 por Emilia & Tini;;
ene-24;Radio;#¿NOMBRE?;MI EX TENÍA RAZÓN por Karol G;;
ene-24;Radio;#¿NOMBRE?;Flowers por Cyrus, Miley;;
ene-24;Radio;#¿NOMBRE?;Piscina por Maria Becerra, Chencho Corleone, Ovy On The Drums;;
ene-24;Radio;#¿NOMBRE?;Columbia por Quevedo;;
ene-24;Radio;#¿NOMBRE?;Shakira: Bzrp Music Sessions, Vol. 53 por Bizarrap, Shakira;;
ene-24;Radio;#¿NOMBRE?;As It Was por Harry Styles;;
ene-24;Radio;#¿NOMBRE?;Blinding Lights por The Weeknd;;
ene-24;Radio;#¿NOMBRE?;La Bachata por Manuel Turizo;;
ene-24;Radio;#¿NOMBRE?;Dance The Night por Dua Lipa;;
ene-24;Radio;#¿NOMBRE?;Los Del Espacio por Lit Killah, Tiago Pzk, Maria Becerra, Duki, Emilia, RusheWARNER MUSIC GROUP;;
ene-24;Radio;#¿NOMBRE?;La Falda por Myke Towers;;
ene-24;Radio;#¿NOMBRE?;Baby Hello por Rauw Alejandro & Bizarrap;;
ene-24;Radio;#¿NOMBRE?;Qlona por Karol G, Peso Pluma;;
ene-24;Radio;#¿NOMBRE?;Un Finde por Big One, Ke Personajes, Fmk;;
ene-24;Radio;#¿NOMBRE?;Si No Estas por Iñigo Quintero;;
ene-24;Radio;#¿NOMBRE?;Fue Dificil por María José Quintanilla;;
ene-24;Radio;#¿NOMBRE?;Bubalu por Feid, Rema;;
ene-24;Radio;#¿NOMBRE?;Según Quién por Maluma & Carin Leon;;
ene-24;Radio;#¿NOMBRE?;Greedy por Tate Mcrae;;
ene-24;Radio;#¿NOMBRE?;Bailando Bachata por Chayanne;;
ene-24;Radio;#¿NOMBRE?;Deep Down por Alok X Ella Eyre X Kenny Dope Feat. Never Dull;;
ene-24;Radio;#¿NOMBRE?;Ella Baila Sola por Eslabon Armado, Peso Pluma;;
ene-24;Radio;#¿NOMBRE?;Despechá por Rosalía;;
ene-24;Radio;#¿NOMBRE?;Luna por Feid, Atl Jacob;;
ene-24;Radio;#¿NOMBRE?;Ojitos Rojos por Grupo Frontera, Ke Personajes;;
ene-24;Radio;#¿NOMBRE?;Vagabundo por Sebastián Yatra Junto A Manuel Turizo Y Beéle;;
ene-24;Radio;#¿NOMBRE?;Un X100to por Grupo Frontera, Bad Bunny;;
ene-24;Radio;#¿NOMBRE?;Malamor por Santaferia, Los Vasquez & Arte Elegante;;
ene-24;Radio;#¿NOMBRE?;Anti-Hero por Taylor Swift;;
ene-24;Radio;#¿NOMBRE?;Beso por Rosalía & Rauw Alejandro;;
ene-24;Radio;#¿NOMBRE?;Arena Y Sol por Marta Sánchez;;
ene-24;Radio;#¿NOMBRE?;Bellakeo por Peso Pluma, Anitta;;
ene-24;Radio;#¿NOMBRE?;Shape Of You por Ed Sheeran;;
ene-24;Radio;#¿NOMBRE?;Somos Latinos por Play-N-Skillz, Gente De Zona, Dale Pututi;;
