Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-21;Spotify;#¿NOMBRE?;Myke Towers, Juhn;Bandido;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Bad Bunny, JHAYCO;DÁKITI;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;KAROL G;BICHOTA;Reggaeton;Colombia
ene-21;Spotify;#¿NOMBRE?;Boza;Hecha Pa' Mi;Reggaeton;Panamá
ene-21;Spotify;#¿NOMBRE?;Bad Bunny, ROSALÍA;LA NOCHE DE ANOCHE;Reggaeton;España
ene-21;Spotify;#¿NOMBRE?;Rauw Alejandro, Anuel AA;Reloj;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Nicky Jam, Myke Towers;Polvo;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Anuel AA, Ozuna;Antes;Reggaeton;Colombia 
ene-21;Spotify;#¿NOMBRE?;Manuel Turizo, Rauw Alejandro, Myke Towers;La Nota;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Bad Bunny;TE MUDASTE;Pop;Colombia
ene-21;Spotify;#¿NOMBRE?;Ozuna, J Balvin, Chencho Corleone;Una Locura;Reggaeton;Colombia
ene-21;Spotify;#¿NOMBRE?;Justin Quiles;Ponte Pa' Mi;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Farruko;La Tóxica;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Maluma;Hawái;Reggaeton;Colombia
ene-21;Spotify;#¿NOMBRE?;Wisin, Myke Towers, Los Legendarios;Mi Niña;Reggaeton;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Justin Quiles;Jeans;Cumbia;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko;Relación - Remix;Reggaeton;Panamá
ene-21;Spotify;#¿NOMBRE?;Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy;No Te Enamores - Remix;Reggaeton;República Dominicana
ene-21;Spotify;#¿NOMBRE?;Sebastian Yatra, Guaynaa;Chica Ideal;Pop Latino;Colombia
ene-21;Spotify;#¿NOMBRE?;Migrantes, Alico;Si Me Tomo Una Cerveza;Reggaeton;Argentina
ene-21;Spotify;#¿NOMBRE?;KEVIN ROLDAN, Bryant Myers, Lyanno;HASTA ABAJO;Pop Latino;Colombia 
ene-21;Spotify;#¿NOMBRE?;Camilo, El Alfa;BEBÉ;Reggaeton;Colombia
ene-21;Spotify;#¿NOMBRE?;Jay Wheeler, DJ Nelson, Myke Towers;La Curiosidad;R&B/Pop;Puerto Rico
ene-21;Spotify;#¿NOMBRE?;Camilo;Vida de Rico;R&B/Alternative;Colombia
ene-21;Spotify;#¿NOMBRE?;Ak4:20;Skyline;Reggaeton;Chile
