Fecha;Medio;Posición;Artista;Canción;Género;Nacionalidad
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Nickoog Clk, Lucky Brown, El BAI;PRINCESITA DE ...;;
ene-24;Spotify;#¿NOMBRE?;Cris Mj;Daytona;;
ene-24;Spotify;#¿NOMBRE?;Feid, ATL Jacob;LUNA;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Gittobeatz;ANDO;;
ene-24;Spotify;#¿NOMBRE?;Kidd Voodoo, Daiko 02;Minnie <3;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Cris Mj;LOCA FARANDULERA;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Nicki Nicole;X ESO BB;;
ene-24;Spotify;#¿NOMBRE?;Lucky Brown, Nickoog Clk, Mateo on the Beatz;Ay Parcera;;
ene-24;Spotify;#¿NOMBRE?;Lucky Brown, Jere Klein, Mateo on the Beatz;¿Cuál Es Su Nombre?;;
ene-24;Spotify;#¿NOMBRE?;Kidd Voodoo, Pablo Chill-E, Swift 047;Ese Guille;;
ene-24;Spotify;#¿NOMBRE?;Katteyes, Kidd Voodoo;Tas Texteandome;;
ene-24;Spotify;#¿NOMBRE?;Bizarrap, Young Miko;Young Miko: Bzrp Music Sessions, Vol. 58;;
ene-24;Spotify;#¿NOMBRE?;KAROL G, Peso Pluma;QLONA;;
ene-24;Spotify;#¿NOMBRE?;Myke Towers;LA FALDA;;
ene-24;Spotify;#¿NOMBRE?;Bad Bunny, Feid;PERRO NEGRO;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Mateo on the Beatz, EL MURCIELAGO;KE MAL;;
ene-24;Spotify;#¿NOMBRE?;Xavi;La Diabla;;
ene-24;Spotify;#¿NOMBRE?;YSY A, Jere Klein, ONIRIA;24/7 6.5;;
ene-24;Spotify;#¿NOMBRE?;Cris Mj;No Ando Weando;;
ene-24;Spotify;#¿NOMBRE?;Gaby Music, Lunay, Luar La L;No Te Quieren Conmigo;;
ene-24;Spotify;#¿NOMBRE?;Mesita, Nicki Nicole, Tiago PZK, Emilia;Una Foto Remix (feat. Emilia);;
ene-24;Spotify;#¿NOMBRE?;Peso Pluma, Anitta;BELLAKEO;;
ene-24;Spotify;#¿NOMBRE?;Sayian Jimmy, Nysix Music, CamiMusic;Bad Boy;;
ene-24;Spotify;#¿NOMBRE?;Cris Mj;La Noche Está;;
ene-24;Spotify;#¿NOMBRE?;Cris Mj;Partyson;;
ene-24;Spotify;#¿NOMBRE?;Big One, FMK, Ke Personajes;Un Finde | CROSSOVER #2;;
ene-24;Spotify;#¿NOMBRE?;Quevedo;Columbia;;
ene-24;Spotify;#¿NOMBRE?;Gino Mella, Jairo Vera, Best;EL AMOR DE TU VIDA;;
ene-24;Spotify;#¿NOMBRE?;Rauw Alejandro;DILUVIO;;
ene-24;Spotify;#¿NOMBRE?;Myke Towers;LALA;;
ene-24;Spotify;#¿NOMBRE?;Nickoog Clk, Jere Klein;XQ TAN SOLA?;;
ene-24;Spotify;#¿NOMBRE?;Maluma, Carin Leon;Según Quién;;
ene-24;Spotify;#¿NOMBRE?;Lucky Brown, Adan La Amenaza;Privado;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Taiko, EL MURCIELAGO;NO SÉ AMAR;;
ene-24;Spotify;#¿NOMBRE?;Darell;Lollipop;;
ene-24;Spotify;#¿NOMBRE?;El Jordan 23, los patos feos inc, Nes;Cabaña;;
ene-24;Spotify;#¿NOMBRE?;Cris Mj, Yan Block;333;;
ene-24;Spotify;#¿NOMBRE?;KAROL G;AMARGURA;;
ene-24;Spotify;#¿NOMBRE?;Nickoog Clk, Gittobeatz;Somos Diferentes;;
ene-24;Spotify;#¿NOMBRE?;Feid, Young Miko;CLASSY 101;;
ene-24;Spotify;#¿NOMBRE?;Anuel AA;Luces Tenues;;
ene-24;Spotify;#¿NOMBRE?;KAROL G;MI EX TENÍA RAZÓN;;
ene-24;Spotify;#¿NOMBRE?;Kali Uchis, Peso Pluma;Igual Que Un Ángel (with Peso Pluma);;
ene-24;Spotify;#¿NOMBRE?;ITHAN NY, Brray, Pailita, Nickoog Clk, Tunechikidd, El Jordan 23, DONNER;Tu Diablo Remix (feat. El Jordan 23, Nickoog Clk & Tunechikidd);;
ene-24;Spotify;#¿NOMBRE?;Anuel AA, Quevedo, Maluma, Mambo Kingz, DJ Luian;OA;;
ene-24;Spotify;#¿NOMBRE?;Grupo Frontera, Ke Personajes;OJITOS ROJOS;;
ene-24;Spotify;#¿NOMBRE?;Pablo Chill-E, Pailita;Cora Roto;;
ene-24;Spotify;#¿NOMBRE?;Gino Mella, Jairo Vera;DE LA PXTA;;
ene-24;Spotify;#¿NOMBRE?;Plan B;Es un Secreto;;
ene-24;Spotify;#¿NOMBRE?;Manuel Turizo;La Bachata;;
ene-24;Spotify;#¿NOMBRE?;Pailita, Fran C;Venga Pa' Acá;;
ene-24;Spotify;#¿NOMBRE?;KAROL G, Shakira;TQG;;
ene-24;Spotify;#¿NOMBRE?;Ariana Grande;yes, and?;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, El BAI, Mateo on the Beatz;FINA;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Lucky Brown;Mandame Tu Ubi;;
ene-24;Spotify;#¿NOMBRE?;Julianno Sosa, Guelo Star;TRANQUILA;;
ene-24;Spotify;#¿NOMBRE?;Jairo Vera, Gino Mella, King Savagge, Chiko Alfa, Bayriton, Malito Malozo, Paolo Pimp;JARABE (feat. Chiko Alfa, Bayriton, Malito Malozo & Paolo Pimp);;
ene-24;Spotify;#¿NOMBRE?;Grupo Frontera, Bad Bunny;un x100to;;
ene-24;Spotify;#¿NOMBRE?;El Joan, Celso El Potente;Le Gustan Lo' Flaites;;
ene-24;Spotify;#¿NOMBRE?;Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire;Linea Del Perreo;;
ene-24;Spotify;#¿NOMBRE?;Carin Leon;Primera Cita;;
ene-24;Spotify;#¿NOMBRE?;KAROL G, Cris Mj, Ryan Castro;UNA NOCHE EN MEDELLÍN - REMIX;;
ene-24;Spotify;#¿NOMBRE?;Feid;Feliz Cumpleaños Ferxxo;;
ene-24;Spotify;#¿NOMBRE?;The Weeknd, JENNIE, Lily-Rose Depp;One Of The Girls (with JENNIE, Lily Rose Depp);;
ene-24;Spotify;#¿NOMBRE?;KAROL G;PROVENZA;;
ene-24;Spotify;#¿NOMBRE?;Jere Klein, Mateo on the Beatz;UNA EN UN MILLÓN;;
ene-24;Spotify;#¿NOMBRE?;Kidd Voodoo, Easykid;Mal Mal Mal;;
ene-24;Spotify;#¿NOMBRE?;Milo j, Taiu;Rara Vez;;
ene-24;Spotify;#¿NOMBRE?;Xavi;La Víctima;;
ene-24;Spotify;#¿NOMBRE?;Calle 24, Chino Pacas, Fuerza Regida;Que Onda;;
ene-24;Spotify;#¿NOMBRE?;Tony Dize, Plan B;Solos (feat. Plan B);;
