rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4FAKtPVycI4DxoOHC01YqD","Yandel, Feid","Yandel 150","La Leyenda LLC",1,3,6,"2752322"
2,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",1,1,4,"2665916"
3,"spotify:track:66vWfpNGNT4y6nPdW5WMtj","Pailita, Cris Mj, Young Cister","Llámame Bebé","2022 Rimas Entertainment México S.A. de C.V",1,2,6,"2311497"
4,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",1,4,17,"2013032"
5,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,6,32,"1802898"
6,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",5,5,3,"1744757"
7,"spotify:track:7wGy7XfvDC7PRNtMQkHVuN","Jere Klein, Lucky Brown","Mandame Tu Ubi","Jere Klein",7,7,9,"1614300"
8,"spotify:track:0NO2zL0kw8sGGnaMvHKAZF","Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile","Marisola - Remix","Virgin Music Chile",2,9,7,"1600250"
9,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",3,8,10,"1537789"
10,"spotify:track:5uq1p5tvZhSTRpZZTwuQPj","Harry Nach, Cris Mj, Pablo Chill-E, Polimá Westcoast, Aqua VS, Tom fomt, Kreamly, Nikxz","LOKOTRON REMIX","Only Perk",7,10,7,"1514058"
11,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",7,15,24,"1473213"
12,"spotify:track:5MxnvIBS4UMUpbZUKQsuNA","Marcianeke, Jere Klein, Gold Music","Muñeca","El Valle de los Reyes",11,11,8,"1436031"
13,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",5,12,6,"1424631"
14,"spotify:track:7iBFkn9NTeNW9jfwiCzF39","Balbi El Chamako, Jere Klein","Ese Corte","Balbi El Chamako",12,13,9,"1386574"
15,"spotify:track:36ys9pBrC5SLAADHsbsDVF","Jere Klein, ITHAN NY","Los Diablotes","Jere Klein",15,22,4,"1374600"
16,"spotify:track:4WiQA1AGWHFvaxBU6bHghs","Quevedo","PUNTO G","Quevedo",13,14,13,"1305591"
17,"spotify:track:4gWqIR7bGRk9oLoYRgSUKN","Pailita","Parcera","2022 Rimas Entertainment México S.A. de C.V",5,19,18,"1284133"
18,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,16,31,"1221274"
19,"spotify:track:0gytcfGU4mtSfckMajYQS9","King Savagge, Ak4:20, Paloma Mami","NOPALATELE","King Savagge",18,18,3,"1168528"
20,"spotify:track:19sodmNrtcRrRHVTnzhtsZ","Cris Mj, Pablo Chill-E","Como Tu Ninguna - Remix","Sonar LLC.",3,17,11,"1111124"
21,"spotify:track:2sgRUvRB8dCGpqxmbOrsMO","Young Cister, Taiko","DEBI LLEVARTE FLORES","Sony Music Entertainment Chile S.A",16,20,7,"1107789"
22,"spotify:track:0CYTGMBYkwUxrj1MWDLrC5","Feid","CHORRITO PA LAS ANIMAS","UMLE - Latino",22,23,9,"1051580"
23,"spotify:track:5q86iSKkBtOoNkdgEDY5WV","Quevedo","VISTA AL MAR","Quevedo",6,21,21,"1025760"
24,"spotify:track:7BFa8ACKFI2vvbn6Su16JY","Pailita, El Jordan 23, Noriel, Pablo Chill-E","Na Na Na - Remix","2022 Rimas Entertainment México S.A. de C.V",1,24,16,"1022102"
25,"spotify:track:6WbAhuwE6fCOriBu5786X1","KAROL G, Ovy On The Drums","CAIRO","BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO",22,26,12,"993411"
26,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,27,39,"967568"
27,"spotify:track:2RQsLucjZb02cKkz3s8NZ5","Julianno Sosa, Young Cister","GANAS","Sosa Mafia Records",6,29,24,"930010"
28,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,25,39,"921185"
29,"spotify:track:1DmPVoJJgSAMHEMamRV4DH","Jairo Vera","PA K TE ENAMORE","WM Chile",29,35,7,"909504"
30,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",22,31,30,"904566"
31,"spotify:track:3cubuvfYq2yHijwV7eCHwL","ITHAN NY, Tunechikidd, Nickoog Clk","TU DIABLO","ITHAN NY",4,28,13,"871262"
32,"spotify:track:0pVFw0LHdpjAWI2xwoUXQZ","Jairo Vera, Darkiel, Gino Mella, Best, Bayriton","ADICTO (feat. Best, Bayriton)","WM Chile",22,33,18,"865318"
33,"spotify:track:33cF8aTmGJ6TsEf23uqGIN","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",11,36,27,"861942"
34,"spotify:track:4TRlBMj8wXsIfEDgWOPyE2","Feid, Ak4:20, Taiko","Malibu","UMLE - Latino",21,34,12,"827807"
35,"spotify:track:6OzUIp8KjuwxJnCWkXp1uL","Wisin & Yandel, ROSALÍA","Besos Moja2","Sony Music Latin",15,40,18,"826727"
36,"spotify:track:3KI4rfS7kRC58Dd4ToY7P3","El Punto40, Marcianeke","Mini Mini","Duetti",17,38,14,"819728"
37,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,39,39,"799378"
38,"spotify:track:6G12ZafqofSq7YtrMqUm76","Shakira, Ozuna","Monotonía","Sony Music Latin",9,30,16,"784505"
39,"spotify:track:6OsU20ogLqpSbNGAbMY9se","Jairo Vera","Lealtad","WM Chile",39,62,3,"782361"
40,"spotify:track:2pR6bipXfJySBhje19SW02","Stars Music Chile, Cris Mj, Standly","Marisola","Virgin Music Chile",1,32,28,"774187"
41,"spotify:track:58cEG7FsVoipRiRKUMgOjo","Rauw Alejandro, Baby Rasta","PUNTO 40","Sony Music Latin/Duars Entertainment",15,41,19,"751549"
42,"spotify:track:53tfEupEzQRtVFOeZvk7xq","ROSALÍA","DESPECHÁ","Columbia",7,42,27,"738073"
43,"spotify:track:4Rjq1TZbF0bDstOs6SiI6J","Polimá Westcoast, Quevedo, Mora","LACONE","Sony Music Entertainment Chile S.A",13,37,10,"726628"
44,"spotify:track:6wtZPYBIXUvCpXwVjMCJBf","Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto","ULTRA SOLO REMIX","Sony Music Entertainment Chile S.A",1,45,33,"717087"
45,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",28,48,44,"712909"
46,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",18,50,39,"691694"
47,"spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T","Quevedo, Myke Towers","PLAYA DEL INGLÉS","Quevedo",43,43,7,"684530"
48,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",6,46,39,"681337"
49,"spotify:track:0yq2vtAiZfTYZlP2EFCJDt","Jairo Vera, Balbi El Chamako, Nickoog Clk, El Rey, Gringuitos Records","Te Extraño a Lo Vio (feat. El Rey & Gringuitos Records)","WM Chile",49,53,6,"673132"
50,"spotify:track:4tWO6MRXQwmh8nKlWHgBYz","Cris Mj, Tiago PZK","Fiera","Sonar LLC.",1,44,14,"663428"
51,"spotify:track:1O2pcBJGej0pmH2Y9XZMs6","Cris Mj","Una Noche en Medellín","Sonar LLC.",1,51,54,"628330"
52,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",1,47,39,"619283"
53,"spotify:track:7Am9Us7Lub64dgaJ3jCeL7","Jairo Vera, Best","Con Puras de 25","WM Chile",53,-1,1,"608237"
54,"spotify:track:4uVEdikP5eLUy8Dq6gjiPV","Rauw Alejandro, Daddy Yankee","PANTIES Y BRASIERES","Sony Music Latin/Duars Entertainment",54,-1,1,"600745"
55,"spotify:track:5WIKEk7jt3UqKcAMni2Szl","Nickoog Clk, Julianno Sosa","Chamaka","Nickoog CLK under exclusive license to UnitedMasters LLC",53,61,3,"598602"
56,"spotify:track:5i9bTK3gXeVCvua3PH4nwv","Young Cister","LA TERAPIA","Sony Music Entertainment Chile S.A",2,56,31,"591087"
57,"spotify:track:2nwa6nS5lXnsvwX48RWkbS","Santaferia, Grupo Zúmbale Primo","Que Te Vaya Bien","Huracán Producciones",57,75,9,"576615"
58,"spotify:track:2J9H3nKH2LFfR38WdX6Zue","Marcianeke, Jairo Vera","Dime","El Valle de los Reyes",55,55,4,"570914"
59,"spotify:track:39I8QzTqshYvsyVYEG7vzz","Fayer Music, Jere Klein, King Savage","Hielo","Fayer Music",59,79,3,"569405"
60,"spotify:track:0yACM9jtr7uhFL9WwknCYO","Cris Mj, Ak4:20","Sin Seguro","Sonar LLC.",29,52,10,"562570"
61,"spotify:track:21BoBFBeh49Vrl9DRUsOu8","Nickoog Clk","Salimos Del Tarro","Nickoog CLK under exclusive license to UnitedMasters LLC",20,58,17,"559389"
62,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",11,54,44,"558657"
63,"spotify:track:0kTMK4gNFfLXaTb62w1UaJ","Pablito Pesadilla, Polimá Westcoast, Nickoog Clk, Fran C","BABY OTAKU","Pablito Pesadilla",1,49,24,"553177"
64,"spotify:track:1cZqrdhWL6f3EiY23zpnTe","Pailita, Young Cister","Caminemos de la Mano","2024 Rimas Entertainment México S.A. de C.V",3,60,25,"549517"
65,"spotify:track:40w8JmvwYUP2HUiXPxjy99","Ak4:20, Pailita, Cris Mj","Me Arrepentí","Ak4:20",1,66,45,"540352"
66,"spotify:track:0Iozrbed8spxoBnmtBMshO","Quevedo","WANDA","Quevedo",64,64,2,"539078"
67,"spotify:track:5p3zexHZc07e8ASsMI63Rz","Lucky Brown, Jairo Vera, Valdi","Kilo De Amigas","Lucky Brown",67,72,3,"536842"
